variable,label
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.0)---ARSENIC TRIOXIDE(6.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.0)---IXABEPILONE(0.3),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.0)---PRALATREXATE(0.0006),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.0)---PRALATREXATE(6e-05),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.0)---TRIETHYLENEMELAMINE(5.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.2)---ARSENIC TRIOXIDE(6.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.2)---IXABEPILONE(0.3),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.2)---PRALATREXATE(0.0006),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.2)---PRALATREXATE(6e-05),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(0.2)---TRIETHYLENEMELAMINE(5.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(2.0)---ARSENIC TRIOXIDE(6.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(2.0)---IXABEPILONE(0.3),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(2.0)---PRALATREXATE(0.0006),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(2.0)---PRALATREXATE(6e-05),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(2.0)---TRIETHYLENEMELAMINE(5.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(20.0)---ARSENIC TRIOXIDE(6.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(20.0)---IXABEPILONE(0.3),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(20.0)---MITOTANE(20.0),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(20.0)---PRALATREXATE(0.0006),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(20.0)---PRALATREXATE(6e-05),2
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE(20.0)---TRIETHYLENEMELAMINE(5.0),2
34793-34-5(0.0)---ANTIBIOTIC AD 32(20.0),2
34793-34-5(0.0)---ARSENIC TRIOXIDE(6.0),2
34793-34-5(0.0)---CISPLATINO(20.0),2
34793-34-5(0.0)---MECHLORETHAMINE HYDROCHLORIDE(5.0),2
34793-34-5(0.0)---ROMIDEPSIN(0.01),2
34793-34-5(0.2)---ANTIBIOTIC AD 32(20.0),2
34793-34-5(0.2)---ARSENIC TRIOXIDE(6.0),2
34793-34-5(0.2)---CISPLATINO(20.0),2
34793-34-5(0.2)---MECHLORETHAMINE HYDROCHLORIDE(5.0),2
34793-34-5(0.2)---ROMIDEPSIN(0.01),2
