variable,label
5-FU(0.0)---AZD1775(0.5),1
5-FU(0.0)---BEZ-235(0.02),1
5-FU(0.0)---BEZ-235(0.09),1
5-FU(0.0)---BEZ-235(0.4),1
5-FU(0.0)---BORTEZOMIB(0.009),1
5-FU(0.0)---BORTEZOMIB(0.04),1
5-FU(0.0)---DINACICLIB(0.0115),1
5-FU(0.0)---DINACICLIB(0.04),1
5-FU(0.0)---ERLOTINIB(5.0),1
5-FU(0.0)---GELDANAMYCIN(0.45),1
5-FU(0.0)---GELDANAMYCIN(2.0),1
5-FU(0.0)---L778123(2.0),1
5-FU(0.0)---L778123(5.0),1
5-FU(0.0)---LAPATINIB(1.1),1
5-FU(0.0)---LAPATINIB(5.0),1
5-FU(0.0)---MK-2206(0.2),1
5-FU(0.0)---MK-2206(0.9),1
5-FU(0.0)---MK-2206(4.0),1
5-FU(0.0)---MK-4827(10.0),1
5-FU(0.0)---MK-5108(2.0),1
5-FU(0.0)---MK-8669(0.00223),1
5-FU(0.0)---MK-8669(0.01),1
5-FU(0.0)---MK-8776(1.15),1
5-FU(0.0)---MK-8776(4.0),1
5-FU(0.0)---SORAFENIB(20.0),1
5-FU(0.0)---SUNITINIB(5.0),1
5-FU(0.0)---ZOLINZA(1.15),1
5-FU(0.0)---ZOLINZA(4.0),1
5-FU(0.35)---AZD1775(0.2),1
5-FU(0.35)---AZD1775(0.5),1
5-FU(0.35)---BEZ-235(0.02),1
5-FU(0.35)---BEZ-235(0.09),1
5-FU(0.35)---BEZ-235(0.4),1
5-FU(0.35)---BORTEZOMIB(0.009),1
5-FU(0.35)---BORTEZOMIB(0.04),1
5-FU(0.35)---DINACICLIB(0.0115),1
5-FU(0.35)---DINACICLIB(0.04),1
5-FU(0.35)---ERLOTINIB(5.0),1
5-FU(0.35)---GELDANAMYCIN(0.1),1
5-FU(0.35)---GELDANAMYCIN(0.45),1
5-FU(0.35)---GELDANAMYCIN(2.0),1
5-FU(0.35)---L778123(2.0),1
5-FU(0.35)---L778123(5.0),1
5-FU(0.35)---LAPATINIB(5.0),1
5-FU(0.35)---MK-2206(0.2),1
5-FU(0.35)---MK-2206(0.9),1
5-FU(0.35)---MK-2206(4.0),1
5-FU(0.35)---MK-4827(10.0),1
5-FU(0.35)---MK-5108(0.675),1
5-FU(0.35)---MK-5108(2.0),1
5-FU(0.35)---MK-8669(0.00223),1
5-FU(0.35)---MK-8669(0.01),1
5-FU(0.35)---MK-8776(1.15),1
5-FU(0.35)---MK-8776(4.0),1
5-FU(0.35)---SORAFENIB(10.0),1
5-FU(0.35)---SORAFENIB(20.0),1
5-FU(0.35)---SUNITINIB(2.5),1
5-FU(0.35)---SUNITINIB(5.0),1
5-FU(0.35)---ZOLINZA(1.15),1
5-FU(0.35)---ZOLINZA(4.0),1
5-FU(1.08)---AZD1775(0.2),1
5-FU(1.08)---AZD1775(0.5),1
5-FU(1.08)---BEZ-235(0.02),1
5-FU(1.08)---BEZ-235(0.09),1
5-FU(1.08)---BEZ-235(0.4),1
5-FU(1.08)---BORTEZOMIB(0.009),1
5-FU(1.08)---BORTEZOMIB(0.04),1
5-FU(1.08)---DASATINIB(3.0),1
5-FU(1.08)---DINACICLIB(0.0115),1
5-FU(1.08)---DINACICLIB(0.04),1
5-FU(1.08)---ERLOTINIB(1.1),1
5-FU(1.08)---ERLOTINIB(5.0),1
5-FU(1.08)---GELDANAMYCIN(0.1),1
5-FU(1.08)---GELDANAMYCIN(0.45),1
5-FU(1.08)---GELDANAMYCIN(2.0),1
5-FU(1.08)---L778123(0.8),1
5-FU(1.08)---L778123(2.0),1
5-FU(1.08)---L778123(5.0),1
5-FU(1.08)---LAPATINIB(0.245),1
5-FU(1.08)---LAPATINIB(1.1),1
5-FU(1.08)---LAPATINIB(5.0),1
5-FU(1.08)---MK-2206(0.045),1
5-FU(1.08)---MK-2206(0.2),1
5-FU(1.08)---MK-2206(0.9),1
5-FU(1.08)---MK-2206(4.0),1
5-FU(1.08)---MK-4827(10.0),1
5-FU(1.08)---MK-4827(2.75),1
5-FU(1.08)---MK-5108(0.675),1
5-FU(1.08)---MK-5108(2.0),1
5-FU(1.08)---MK-8669(0.0005),1
5-FU(1.08)---MK-8669(0.00223),1
5-FU(1.08)---MK-8669(0.01),1
5-FU(1.08)---MK-8776(0.0925),1
5-FU(1.08)---MK-8776(0.325),1
5-FU(1.08)---MK-8776(1.15),1
5-FU(1.08)---MK-8776(4.0),1
5-FU(1.08)---SORAFENIB(10.0),1
5-FU(1.08)---SORAFENIB(20.0),1
5-FU(1.08)---SORAFENIB(5.0),1
5-FU(1.08)---SUNITINIB(2.5),1
5-FU(1.08)---SUNITINIB(5.0),1
5-FU(1.08)---ZOLINZA(1.15),1
5-FU(1.08)---ZOLINZA(4.0),1
5-FU(10.0)---ABT-888(0.0),1
5-FU(10.0)---ABT-888(0.35),1
5-FU(10.0)---ABT-888(1.08),1
5-FU(10.0)---ABT-888(10.0),1
5-FU(10.0)---ABT-888(3.25),1
5-FU(10.0)---AZD1775(0.0),1
